patent_id,application_number,title,abstract,inventors,assignee,status,filing_date,url,source_query,last_updated_utc,llm_summary,pmid,journal,pubdate,year,month,day,authors,rochester_authors,affiliations,authors_display
19716074,19716074,INTELLIGENT BALLISTIC PARACHUTE SYSTEM THAT PERFORMS PRE-ACTIVATION AND/OR POST-ACTIVATION ACTIONS,No abstract available.,,Assignee unavailable,Application Undergoing Preexam Processing,2026-06-22,https://patentcenter.uspto.gov/applications/19716074,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,19716074,USPTO Patent Application - Assignee unavailable,"Jun 22, 2026",2026,Jun,22,,,,
19714075,19714075,SYSTEMS AND METHODS FOR AUTOMATIC AND TRANSPARENT CLIENT AUTHENTICATION AND ONLINE TRANSACTION VERIFICATION,No abstract available.,,Assignee unavailable,"Application Dispatched from Preexam, Not Yet Docketed",2026-06-19,https://patentcenter.uspto.gov/applications/19714075,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,19714075,USPTO Patent Application - Assignee unavailable,"Jun 19, 2026",2026,Jun,19,,,,
90016407,90016407,SYSTEM AND METHOD FOR IDENTIFYING COMPARABLES,No abstract available.,,Assignee unavailable,Reexam Preprocessing Completed -- Released to Assigned GAU,2026-06-18,https://patentcenter.uspto.gov/applications/90016407,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,90016407,USPTO Patent Application - Assignee unavailable,"Jun 18, 2026",2026,Jun,18,,,,
90016406,90016406,PLANT COVER WITH INSECT RESISTANT BAG FOR ENCLOSING A PLANT,No abstract available.,,Assignee unavailable,Reexam Preprocessing Completed -- Released to Assigned GAU,2026-06-18,https://patentcenter.uspto.gov/applications/90016406,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,90016406,USPTO Patent Application - Assignee unavailable,"Jun 18, 2026",2026,Jun,18,,,,
90016405,90016405,PLANT COVER WITH INSECT RESISTANT BAG FOR ENCLOSING A PLANT,No abstract available.,,Assignee unavailable,Reexam Preprocessing Completed -- Released to Assigned GAU,2026-06-18,https://patentcenter.uspto.gov/applications/90016405,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,90016405,USPTO Patent Application - Assignee unavailable,"Jun 18, 2026",2026,Jun,18,,,,
19713103,19713103,Memory Arrays,No abstract available.,,Assignee unavailable,"Application Dispatched from Preexam, Not Yet Docketed",2026-06-18,https://patentcenter.uspto.gov/applications/19713103,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,19713103,USPTO Patent Application - Assignee unavailable,"Jun 18, 2026",2026,Jun,18,,,,
90016402,90016402,SOLID-STATE LIGHTING DEVICE,No abstract available.,,Assignee unavailable,Reexam Preprocessing Completed -- Released to Assigned GAU,2026-06-17,https://patentcenter.uspto.gov/applications/90016402,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,90016402,USPTO Patent Application - Assignee unavailable,"Jun 17, 2026",2026,Jun,17,,,,
90016401,90016401,NETWORK SYSTEM AND NETWORK FLOW TRACING METHOD,No abstract available.,,Assignee unavailable,Reexam Preprocessing Completed -- Released to Assigned GAU,2026-06-17,https://patentcenter.uspto.gov/applications/90016401,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,90016401,USPTO Patent Application - Assignee unavailable,"Jun 17, 2026",2026,Jun,17,,,,
90016399,90016399,EVENT-RELATED MEDIA MANAGEMENT SYSTEM,No abstract available.,,Assignee unavailable,Reexam Assigned to Examiner for Determination,2026-06-17,https://patentcenter.uspto.gov/applications/90016399,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,90016399,USPTO Patent Application - Assignee unavailable,"Jun 17, 2026",2026,Jun,17,,,,
19711617,19711617,DISPLAY DEVICE HAVING AN EMBEDDED SHIELDING LAYER FLEXIBLE SUBSTRATE,No abstract available.,,Assignee unavailable,Docketed New Case - Ready for Examination,2026-06-17,https://patentcenter.uspto.gov/applications/19711617,"(""Rochester"" AND (""MN"" OR ""Minnesota"")) AND (applicationMetaData.filingDate:[2006-06-26 TO *] OR filingDate:[2006-06-26 TO *] OR applicationMetaData.publicationDate:[2006-06-26 TO *] OR publicationDate:[2006-06-26 TO *])",2026-06-26T01:54:23Z,AI summary pending: set ANTHROPIC_API_KEY or OPENAI_API_KEY in query_uspto workflow secrets.,19711617,USPTO Patent Application - Assignee unavailable,"Jun 17, 2026",2026,Jun,17,,,,
