pmid,title,authors,citation,first_author,journal_abbrev,year,pubdate,journal,affiliation,doi
40907026,Anatomic Foundations of Surgery on the Female Perineum.,"Madsen AM, Sammarco AG, DeLancey JOL, Corton M",,Madsen AM,Obstet Gynecol,2025,2025/09/04,Obstetrics and gynecology,,
40906474,A Young Male With Enlarging Facial Swelling.,Rai P,,Rai P,JAMA Otolaryngol Head Neck Surg,2025,2025/09/04,JAMA otolaryngology-- head & neck surgery,,
40906473,Radiotherapy for Growing Vestibular Schwannomas.,"Sethi M, Gowrishankar S, Tysome J, Donnelly N, Axon P, Bance M, Mannion R, Guilfoyle M, Buttimore J, Gamazo N, Duke S, Jena R, Burton K, Jefferies S, Fornezza U, Perini Z, Mari C, Gazzola L, Schouten S, Compter I, Eekers DBP, Kunst HPM, Bassi R, MacKeith S, Jeyaretna S, Whitfield G, McBain C, Colaco R, Hotchkies A, Lloyd S, Obholzer R, Cheang YFA, Thomas N, Barazi S, Maratos E, Shapey J, Hassan S, Chia K, Tancu C, Kitchen N, Marinelli JP, Carlson ML, Link MJ, Borsetto D",,Sethi M,JAMA Otolaryngol Head Neck Surg,2025,2025/09/04,JAMA otolaryngology-- head & neck surgery,,
40906253,The Bidirectionality of Psychosocial Stress and Cardiovascular Disease Risk in Women; Recognition and Strategies for Management.,"Gomes Z, Tulloch H, Bouchard K, Mulvagh SL",,Gomes Z,Curr Atheroscler Rep,2025,2025/09/04,Current atherosclerosis reports,,
40905640,Risk of Relapse Post Reduced Intensity Conditioning Allogeneic Stem Cell Transplant in Patients With High-Risk Myeloid Neoplasms Based on GvHD Prophylaxis: PTCy Vs. TAC/MTX.,"Hassan K, Baranwal A, Kassis AR, Braun J, Bartoo G, Wolf R, Hefazi M, Matin A, Mangoankar A, Shah MV, Litzow MR, Hogan WJ, Dingli D, Alkhateeb HB",,Hassan K,Am J Hematol,2025,2025/09/04,American journal of hematology,,
40905543,Use of Contrast-Enhanced Ultrasound in Genital Lymphedema: A Report of Three Cases.,"Rios-Sanchez MV, Bustos SS, Aristizábal A, Bruces-Molina C, Lee CU, Tran NV, Fahradyan V",,Rios-Sanchez MV,Microsurgery,2025,2025/09/04,Microsurgery,,
40905366,The assessment and management of patients with type 2 myocardial infarction: an international Delphi study.,"Taggart C, Ferry AV, Chapman AR, Schulberg SD, Bularga A, Wereski R, Boeddinghaus J, Kimenai DM, Lowry MTH, Chew DP, Cullen L, Daniels LB, Devereaux PJ, French J, Gaggin HK, Huynh T, Jacquin L, Jaffe AS, Jernberg T, Koronowski R, McCarthy C, McCord J, Mamas MA, Mickley H, Morrow DA, Mueller C, Newby LK, Parsonage W, Raphael CE, Smer A, Smith SW, Sandoval Y, Smilowitz NR, White H, Eggers KM, Lindahl B, Thygesen K, Mills NL",,Taggart C,Eur Heart J Qual Care Clin Outcomes,2025,2025/09/04,European heart journal. Quality of care & clinical outcomes,,
40905073,A founder heterozygous mutation in Methyl-CpG binding domain protein 4 (MBD4) prevalent among Israeli Christian Arabs predisposes to increased mutagenesis.,"Dadi G, Rosen S, Naor H, Hellou E, Chapal-Ilani N, Bacharach T, Kaushansky N, Shlush LL",,Dadi G,Haematologica,2025,2025/09/04,Haematologica,,
40904775,Association between the Balanced Healthy Eating Index and depression and the mediating role of extreme pessimistic thoughts: an analysis from the health and nutrition database.,"Liu Y, Bao S, Li C, Li F, Liang M, Yang G",,Liu Y,Front Nutr,2025,2025/09/04,Frontiers in nutrition,,
40904362,Elevated serum levels of monocyte chemoattractant protein-1 in 71 patients 3 months after elective cardiac surgery suggest a potential link to persistent inflammation but not an increased propensity for perioperative cerebrovascular events.,"Laudanski K, Antar M, Gad H, Diedrich DA",,Laudanski K,Front Med (Lausanne),2025,2025/09/04,Frontiers in medicine,,
